%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1602701735368782777,2083,1602701735368782777,,30.2879620414,-97.7377243817,-0.829731762409
1602701735409157790,2084,1602701735409157790,,30.2879620414,-97.7377243817,-0.829731762409
1602701735449302927,2085,1602701735449302927,,30.2879620414,-97.7377243817,-0.829731762409
1602701735510059478,2086,1602701735510059478,,30.2879620414,-97.7377243817,-0.829731762409
1602701735550013641,2087,1602701735550013641,,30.2879620414,-97.7377243817,-0.829731762409
1602701735590288240,2088,1602701735590288240,,30.2879620199,-97.7377243656,-0.826334297657
1602701735634915742,2089,1602701735634915742,,30.2879620199,-97.7377243656,-0.826334297657
1602701735651551239,2090,1602701735651551239,,30.2879619816,-97.7377243369,-0.822257339954
1602701735671616253,2091,1602701735671616253,,30.2879618779,-97.7377243097,-0.823141813278
1602701735711832754,2092,1602701735711832754,,30.2879618233,-97.7377242684,-0.818555116653
1602701735752666777,2093,1602701735752666777,,30.2879617472,-97.7377242093,-0.809551954269
1602701735792462576,2094,1602701735792462576,,30.2879616572,-97.7377241372,-0.795452833176
1602701735853018702,2095,1602701735853018702,,30.2879616572,-97.7377241372,-0.795452833176
1602701735893033906,2096,1602701735893033906,,30.287961428,-97.7377239375,-0.766234636307
1602701735933433931,2097,1602701735933433931,,30.287961428,-97.7377239375,-0.766234636307
1602701735953624132,2098,1602701735953624132,,30.2879612843,-97.7377238129,-0.7553627491
1602701735973925961,2099,1602701735973925961,,30.2879612843,-97.7377238129,-0.7553627491
1602701736014409783,2100,1602701736014409783,,30.287961131,-97.7377236717,-0.733109712601
1602701736054705581,2101,1602701736054705581,,30.2879609607,-97.7377235018,-0.700324773788
1602701736094612105,2102,1602701736094612105,,30.2879607837,-97.7377233122,-0.66601061821
1602701736136384738,2103,1602701736136384738,,30.2879607837,-97.7377233122,-0.66601061821
1602701736176485591,2104,1602701736176485591,,30.2879602599,-97.7377227592,-0.635677039623
1602701736236929842,2105,1602701736236929842,,30.2879600618,-97.7377225244,-0.610026538372
1602701736277269950,2106,1602701736277269950,,30.2879596352,-97.7377219662,-0.568917453289
1602701736298889382,2107,1602701736298889382,,30.2879596352,-97.7377219662,-0.568917453289
1602701736359397221,2108,1602701736359397221,,30.2879594048,-97.7377216556,-0.545135676861
1602701736399001714,2109,1602701736399001714,,30.2879586059,-97.7377210708,-0.52997148037
1602701736439289941,2110,1602701736439289941,,30.2879586059,-97.7377210708,-0.52997148037
1602701736479593314,2111,1602701736479593314,,30.2879583567,-97.7377207039,-0.503301501274
1602701736520119418,2112,1602701736520119418,,30.2879581041,-97.73772031,-0.476462244987
1602701736580567494,2113,1602701736580567494,,30.2879576307,-97.7377194504,-0.419555068016
1602701736600457392,2114,1602701736600457392,,30.2879576307,-97.7377194504,-0.419555068016
1602701736662161873,2115,1602701736662161873,,30.2879573995,-97.737719017,-0.391186594963
1602701736702596552,2116,1602701736702596552,,30.2879571523,-97.7377190911,-0.370525300503
1602701736742670495,2117,1602701736742670495,,30.2879571523,-97.7377190911,-0.370525300503
1602701736782897727,2118,1602701736782897727,,30.2879569351,-97.7377186472,-0.349631249905
1602701736823420094,2119,1602701736823420094,,30.2879567254,-97.7377181993,-0.330605447292
1602701736863253328,2120,1602701736863253328,,30.2879565223,-97.7377177469,-0.311919629574
1602701736883453883,2121,1602701736883453883,,30.2879563273,-97.73771729,-0.292893826962
1602701736903553955,2122,1602701736903553955,,30.2879563273,-97.73771729,-0.292893826962
1602701736945323237,2123,1602701736945323237,,30.2879561393,-97.7377168291,-0.274208009243
1602701736985261235,2124,1602701736985261235,,30.2879562927,-97.7377169352,-0.25839304924
1602701737045373532,2125,1602701737045373532,,30.2879562927,-97.7377169352,-0.25839304924
1602701737085771447,2126,1602701737085771447,,30.2879561192,-97.7377164689,-0.23987698555
1602701737126145243,2127,1602701737126145243,,30.2879559521,-97.7377159954,-0.221020936966
1602701737166541139,2128,1602701737166541139,,30.2879557933,-97.73771552,-0.202335119247
1602701737186602444,2129,1602701737186602444,,30.2879556416,-97.7377150398,-0.183479547501
1602701737206695320,2130,1602701737206695320,,30.2879556416,-97.7377150398,-0.183479547501
1602701737248272687,2131,1602701737248272687,,30.2879556416,-97.7377150398,-0.183479547501
1602701737288604372,2132,1602701737288604372,,30.2879553744,-97.7377140675,-0.149675130844
1602701737328764154,2133,1602701737328764154,,30.2879554079,-97.7377144718,-0.14872688055
1602701737348879805,2134,1602701737348879805,,30.2879552765,-97.7377139854,-0.134287774563
1602701737369028903,2135,1602701737369028903,,30.2879552765,-97.7377139854,-0.134287774563
1602701737409389947,2136,1602701737409389947,,30.2879551508,-97.7377134958,-0.119848668575
1602701737449531255,2137,1602701737449531255,,30.2879550316,-97.7377130047,-0.105239808559
1602701737510194500,2138,1602701737510194500,,30.2879549179,-97.7377125098,-0.0906309485435
1602701737551371423,2139,1602701737551371423,,30.2879549179,-97.7377125098,-0.0906309485435
1602701737591492615,2140,1602701737591492615,,30.2879548928,-97.737711812,-0.0604027733207
1602701737631821186,2141,1602701737631821186,,30.2879548928,-97.737711812,-0.0604027733207
1602701737651844859,2142,1602701737651844859,,30.2879547984,-97.7377113128,-0.0464734062552
1602701737672091242,2143,1602701737672091242,,30.2879547984,-97.7377113128,-0.0464734062552
1602701737712510796,2144,1602701737712510796,,30.2879547105,-97.737710814,-0.0318645462394
1602701737752698112,2145,1602701737752698112,,30.2879546284,-97.7377103113,-0.0177649483085
1602701737792818021,2146,1602701737792818021,,30.2879545528,-97.7377098078,-0.0031560882926
1602701737834599462,2147,1602701737834599462,,30.2879545528,-97.7377098078,-0.0031560882926
1602701737894228530,2148,1602701737894228530,,30.2879547249,-97.7377096352,0.0131106097251
1602701737935049443,2149,1602701737935049443,,30.2879546599,-97.7377091293,0.02347275801
1602701737975381227,2150,1602701737975381227,,30.2879545988,-97.7377086225,0.0329856574535
1602701737995481275,2151,1602701737995481275,,30.2879545988,-97.7377086225,0.0329856574535
1602701738015229632,2152,1602701738015229632,,30.2879545427,-97.7377081172,0.0430078208447
1602701738055695878,2153,1602701738055695878,,30.2879544827,-97.737707613,0.040799587965
1602701738095610117,2154,1602701738095610117,,30.2879544196,-97.7377071056,0.0355333983898
1602701738137392154,2155,1602701738137392154,,30.2879544196,-97.7377071056,0.0355333983898
1602701738177423743,2156,1602701738177423743,,30.2879543527,-97.7377066016,0.0277194678783
